,JD,Band,mag,mag_err,effective_wavelength
1143,5797.423699999999,UVW1,17.49,0.14,2910
1328,5797.425199999998,U,15.78,0.07,3663
1480,5797.426099999997,B,15.66,0.06,4361
1558,5797.430899999999,V,15.27,0.06,5448
1144,5797.490599999997,UVW1,17.23,0.13,2910
1329,5797.492100000003,U,15.65,0.07,3663
1481,5797.493000000002,B,15.5,0.05,4361
1559,5797.497799999997,V,15.1,0.06,5448
0,5798.17,U,15.013,0.086,3663
1,5798.17,B,15.185,0.03,4361
2,5798.17,V,14.797,0.021,5448
3,5798.17,R,14.74,0.02,6407
4,5798.17,I,14.848,0.03,7980
1145,5798.501900000003,UVW1,16.1,0.08,2910
1330,5798.502800000002,U,14.33,0.05,3663
1482,5798.503199999999,B,14.18,0.04,4361
655,5798.504500000003,UVW2,17.53,0.16,2120
1560,5798.505799999999,V,13.93,0.05,5448
9,5798.53,I,14.248,0.052,7980
8,5798.53,R,14.26,0.024,6407
5,5798.53,U,14.534,0.014,3663
6,5798.53,B,14.743,0.013,4361
7,5798.53,V,14.325,0.019,5448
1146,5798.629699999998,UVW1,15.89,0.07,2910
1331,5798.631099999999,U,14.2,0.04,3663
1483,5798.631800000003,B,14.12,0.04,4361
656,5798.633900000001,UVW2,17.59,0.15,2120
1561,5798.635999999999,V,13.79,0.04,5448
934,5798.6391,UVM2,18.69,0.36,2310
1147,5798.707300000002,UVW1,15.95,0.07,2910
1332,5798.708700000003,U,14.2,0.04,3663
1484,5798.7094,B,14.04,0.04,4361
657,5798.711499999998,UVW2,17.46,0.14,2120
1562,5798.713499999998,V,13.75,0.04,5448
1148,5798.897400000002,UVW1,15.77,0.06,2910
1333,5798.898800000003,U,14.0,0.04,3663
1485,5798.8994999999995,B,13.88,0.04,4361
658,5798.901599999997,UVW2,17.42,0.14,2120
1563,5798.903700000003,V,13.65,0.04,5448
935,5798.904999999999,UVM2,18.21,0.31,2310
1149,5799.035600000003,UVW1,15.55,0.06,2910
1334,5799.037300000004,U,13.88,0.04,3663
1486,5799.038200000003,B,13.79,0.04,4361
659,5799.040699999998,UVW2,17.29,0.12,2120
1564,5799.0432,V,13.49,0.04,5448
936,5799.047200000001,UVM2,18.6,0.33,2310
12,5799.16,V,13.685,0.02,5448
10,5799.16,U,13.894,0.044,3663
11,5799.16,B,14.027,0.03,4361
14,5799.16,I,13.745,0.03,7980
13,5799.16,R,13.641,0.02,6407
19,5799.53,I,13.333,0.04,7980
17,5799.53,V,13.41,0.02,5448
16,5799.53,B,13.687,0.019,4361
15,5799.53,U,13.572,0.036,3663
18,5799.53,R,13.367,0.025,6407
1150,5799.565000000002,UVW1,15.31,0.05,2910
1335,5799.566500000001,U,13.49,0.04,3663
1487,5799.567300000002,B,13.36,0.04,4361
660,5799.5696000000025,UVW2,16.84,0.09,2120
1565,5799.571900000003,V,13.12,0.04,5448
937,5799.5754000000015,UVM2,18.02,0.21,2310
558,5799.620999999999,J,12.86,0.01,12200
559,5799.620999999999,H,12.822,0.009,16300
560,5799.620999999999,K,12.855,0.031,21900
1151,5799.704400000002,UVW1,15.12,0.06,2910
1336,5799.705300000001,U,13.35,0.04,3663
1488,5799.705800000003,B,13.25,0.04,4361
661,5799.7071,UVW2,16.67,0.1,2120
1566,5799.708400000003,V,13.04,0.04,5448
938,5799.710200000001,UVM2,17.98,0.23,2310
1152,5799.838300000003,UVW1,15.02,0.05,2910
1337,5799.839500000002,U,13.27,0.04,3663
1489,5799.840100000001,B,13.13,0.04,4361
662,5799.841899999999,UVW2,16.67,0.09,2120
1567,5799.8436,V,12.99,0.04,5448
939,5799.845999999998,UVM2,17.98,0.22,2310
1153,5800.108899999999,UVW1,14.8,0.04,2910
1338,5800.110999999997,U,13.07,0.04,3663
663,5800.1152,UVW2,16.45,0.07,2120
1568,5800.118300000002,V,12.82,0.04,5448
940,5800.123,UVM2,17.79,0.18,2310
20,5800.17,U,13.138,0.084,3663
24,5800.17,I,12.991,0.03,7980
23,5800.17,R,12.921,0.02,6407
21,5800.17,B,13.225,0.03,4361
22,5800.17,V,12.943,0.02,5448
1154,5800.233999999997,UVW1,14.71,0.05,2910
1339,5800.2353,U,13.0,0.04,3663
664,5800.237999999998,UVW2,16.34,0.07,2120
1569,5800.239999999998,V,12.76,0.04,5448
941,5800.2431,UVM2,17.61,0.17,2310
1155,5800.307500000003,UVW1,14.63,0.05,2910
1340,5800.3081999999995,U,12.99,0.04,3663
665,5800.309699999998,UVW2,16.21,0.08,2120
1570,5800.310700000002,V,12.72,0.04,5448
942,5800.3124000000025,UVM2,17.59,0.18,2310
1156,5800.434399999998,UVW1,14.65,0.05,2910
1341,5800.434999999998,U,12.84,0.04,3663
666,5800.4361999999965,UVW2,16.16,0.09,2120
1571,5800.4372,V,12.69,0.04,5448
943,5800.438499999997,UVM2,17.57,0.19,2310
944,5800.511400000003,UVM2,17.43,0.2,2310
1157,5800.5130999999965,UVW1,14.54,0.04,2910
667,5800.5265,UVW2,16.22,0.1,2120
26,5800.53,B,12.94,0.019,4361
27,5800.53,V,12.768,0.02,5448
28,5800.53,R,12.71,0.025,6407
29,5800.53,I,12.645,0.041,7980
25,5800.53,U,12.855,0.017,3663
1158,5800.6380999999965,UVW1,14.47,0.05,2910
1342,5800.6391,U,12.68,0.04,3663
668,5800.641000000003,UVW2,16.06,0.07,2120
1572,5800.642399999997,V,12.53,0.04,5448
945,5800.6446,UVM2,17.47,0.16,2310
1159,5800.718200000003,UVW1,14.4,0.04,2910
1343,5800.719400000002,U,12.61,0.04,3663
669,5800.721799999999,UVW2,16.08,0.07,2120
1573,5800.7235,V,12.46,0.04,5448
946,5800.7261,UVM2,17.25,0.14,2310
947,5800.7687000000005,UVM2,17.54,0.23,2310
1160,5800.770100000002,UVW1,14.35,0.04,2910
670,5800.786800000002,UVW2,16.05,0.08,2120
948,5800.902000000002,UVM2,17.17,0.18,2310
1161,5800.903400000003,UVW1,14.32,0.04,2910
671,5800.915500000003,UVW2,16.01,0.09,2120
1162,5800.9856,UVW1,14.27,0.04,2910
1344,5800.986799999999,U,12.5,0.04,3663
672,5800.989099999999,UVW2,15.84,0.06,2120
1574,5800.9908,V,12.44,0.04,5448
949,5800.993499999997,UVM2,17.34,0.15,2310
1345,5801.036800000002,U,12.5,0.04,3663
1346,5801.037600000003,U,12.44,0.04,3663
1490,5801.039599999996,B,12.44,0.04,4361
1575,5801.040699999998,V,12.4,0.04,5448
1576,5801.042399999998,V,12.38,0.04,5448
950,5801.0455,UVM2,17.31,0.17,2310
1163,5801.047200000001,UVW1,14.16,0.04,2910
673,5801.0599,UVW2,15.85,0.08,2120
951,5801.169399999999,UVM2,17.07,0.17,2310
1164,5801.1708,UVW1,14.08,0.04,2910
674,5801.1875,UVW2,15.84,0.07,2120
952,5801.303599999999,UVM2,16.94,0.17,2310
1165,5801.304900000003,UVW1,14.03,0.04,2910
675,5801.322899999999,UVW2,15.68,0.07,2120
953,5801.436900000001,UVM2,16.72,0.15,2310
1166,5801.438199999997,UVW1,13.94,0.04,2910
676,5801.453500000003,UVW2,15.59,0.07,2120
30,5801.5,B,12.47,0.012,4361
31,5801.5,V,12.37,0.011,5448
32,5801.5,R,12.266,0.017,6407
33,5801.5,I,12.221,0.023,7980
954,5801.509100000003,UVM2,17.04,0.17,2310
1167,5801.510399999999,UVW1,13.84,0.04,2910
38,5801.52,I,12.121,0.046,7980
36,5801.52,V,12.242,0.021,5448
35,5801.52,B,12.41,0.017,4361
34,5801.52,U,12.201,0.017,3663
37,5801.52,R,12.183,0.025,6407
677,5801.528400000003,UVW2,15.53,0.06,2120
1168,5801.654199999997,UVW1,13.75,0.04,2910
678,5801.657299999999,UVW2,15.38,0.05,2120
1577,5801.658799999997,V,12.31,0.04,5448
955,5801.6610999999975,UVM2,16.63,0.1,2310
561,5801.667999999998,J,11.901,0.01,12200
562,5801.667999999998,H,11.898,0.008,16300
563,5801.667999999998,K,11.967,0.029,21900
1169,5801.711300000003,UVW1,13.79,0.04,2910
679,5801.717499999999,UVW2,15.42,0.05,2120
1578,5801.720500000003,V,12.16,0.04,5448
956,5801.725100000003,UVM2,16.77,0.09,2310
39,5802.15,U,11.951,0.072,3663
43,5802.15,I,11.914,0.03,7980
42,5802.15,R,11.938,0.02,6407
41,5802.15,V,11.996,0.02,5448
40,5802.15,B,12.022,0.03,4361
1170,5802.514799999997,UVW1,13.15,0.04,2910
680,5802.518600000003,UVW2,14.91,0.08,2120
48,5802.52,I,11.678,0.051,7980
47,5802.52,R,11.748,0.024,6407
46,5802.52,V,11.837,0.022,5448
45,5802.52,B,11.89,0.017,4361
44,5802.52,U,11.621,0.019,3663
564,5802.620999999999,J,11.566,0.011,12200
565,5802.620999999999,H,11.587,0.008,16300
566,5802.620999999999,K,11.609,0.012,21900
50,5803.15,B,11.624,0.03,4361
49,5803.15,U,11.371,0.046,3663
53,5803.15,I,11.5,0.03,7980
52,5803.15,R,11.464,0.02,6407
51,5803.15,V,11.59,0.02,5448
57,5803.52,R,11.353,0.025,6407
55,5803.52,B,11.454,0.015,4361
54,5803.52,U,11.094,0.024,3663
58,5803.52,I,11.293,0.048,7980
56,5803.52,V,11.46,0.02,5448
567,5803.695,H,11.317,0.01,16300
1171,5803.794300000001,UVW1,12.4,0.04,2910
681,5803.796699999999,UVW2,14.15,0.04,2120
957,5803.799800000001,UVM2,15.17,0.05,2310
1579,5804.001199999999,V,11.32,0.04,5448
62,5804.15,R,11.136,0.02,6407
59,5804.15,U,10.988,0.019,3663
60,5804.15,B,11.216,0.03,4361
61,5804.15,V,11.236,0.021,5448
63,5804.15,I,11.129,0.03,7980
64,5804.53,U,10.688,0.019,3663
65,5804.53,B,11.142,0.016,4361
66,5804.53,V,11.152,0.022,5448
67,5804.53,R,11.039,0.024,6407
68,5804.53,I,10.995,0.059,7980
568,5804.6990000000005,H,11.124,0.008,16300
682,5804.865599999997,UVW2,13.66,0.04,2120
958,5804.869700000003,UVM2,14.59,0.04,2310
1172,5804.873099999997,UVW1,11.9,0.04,2910
683,5804.9179,UVW2,13.63,0.04,2120
959,5804.923499999997,UVM2,14.53,0.04,2310
1173,5804.927900000002,UVW1,11.93,0.04,2910
1580,5804.934200000003,V,11.11,0.04,5448
69,5805.15,U,10.557,0.015,3663
73,5805.15,I,10.9,0.03,7980
70,5805.15,B,10.943,0.03,4361
72,5805.15,R,10.854,0.02,6407
71,5805.15,V,11.002,0.02,5448
74,5805.51,B,10.929,0.011,4361
77,5805.51,I,10.878,0.023,7980
75,5805.51,V,10.972,0.021,5448
76,5805.51,R,10.835,0.014,6407
78,5805.52,U,10.4,0.038,3663
82,5805.52,I,10.763,0.05,7980
81,5805.52,R,10.788,0.025,6407
80,5805.52,V,10.903,0.02,5448
79,5805.52,B,10.861,0.014,4361
684,5805.8603,UVW2,13.32,0.04,2120
960,5805.865599999997,UVM2,14.09,0.04,2310
1174,5805.870000000003,UVW1,11.59,0.04,2910
83,5806.14,U,10.379,0.017,3663
87,5806.14,I,10.666,0.03,7980
84,5806.14,B,10.743,0.03,4361
86,5806.14,R,10.688,0.02,6407
85,5806.14,V,10.697,0.02,5448
685,5806.2572,UVW2,13.21,0.04,2120
961,5806.2600999999995,UVM2,13.96,0.04,2310
1175,5806.262300000002,UVW1,11.49,0.04,2910
1581,5806.267899999999,V,10.85,0.04,5448
91,5806.51,I,10.734,0.066,7980
90,5806.51,R,10.651,0.035,6407
88,5806.51,B,10.75,0.01,4361
89,5806.51,V,10.744,0.013,5448
93,5806.52,B,10.662,0.025,4361
94,5806.52,V,10.628,0.022,5448
95,5806.52,R,10.581,0.025,6407
96,5806.52,I,10.553,0.043,7980
92,5806.52,U,10.19,0.028,3663
1582,5806.523699999998,V,10.82,0.04,5448
686,5806.534500000002,UVW2,13.16,0.04,2120
962,5806.5864,UVM2,13.93,0.05,2310
1176,5806.587200000002,UVW1,11.46,0.04,2910
687,5806.6008,UVW2,13.11,0.04,2120
571,5806.648000000001,K,10.809,0.014,21900
569,5806.648000000001,J,10.685,0.013,12200
570,5806.648000000001,H,10.849,0.008,16300
963,5806.652600000001,UVM2,13.82,0.05,2310
1177,5806.653700000003,UVW1,11.45,0.04,2910
688,5806.6708,UVW2,13.1,0.04,2120
964,5806.786500000002,UVM2,13.84,0.05,2310
689,5806.804799999998,UVW2,13.06,0.04,2120
965,5806.9205,UVM2,13.78,0.05,2310
1178,5806.921699999999,UVW1,11.41,0.04,2910
690,5806.9355,UVW2,13.03,0.04,2120
100,5807.14,R,10.46,0.02,6407
97,5807.14,U,10.16,0.088,3663
98,5807.14,B,10.519,0.03,4361
99,5807.14,V,10.559,0.02,5448
101,5807.14,I,10.519,0.03,7980
691,5807.192999999999,UVW2,13.03,0.06,2120
692,5807.193800000001,UVW2,13.09,0.04,2120
966,5807.194900000002,UVM2,13.7,0.09,2310
967,5807.195699999997,UVM2,13.76,0.05,2310
1179,5807.197899999999,UVW1,11.32,0.04,2910
693,5807.201200000003,UVW2,13.01,0.04,2120
694,5807.322800000002,UVW2,12.97,0.04,2120
968,5807.327700000002,UVM2,13.64,0.04,2310
969,5807.523699999998,UVM2,13.56,0.05,2310
103,5807.54,B,10.473,0.021,4361
104,5807.54,V,10.504,0.023,5448
105,5807.54,R,10.423,0.029,6407
106,5807.54,I,10.443,0.044,7980
102,5807.54,U,9.94,0.018,3663
695,5807.541599999997,UVW2,12.93,0.04,2120
970,5807.589699999997,UVM2,13.56,0.05,2310
572,5807.601999999999,J,10.583,0.01,12200
573,5807.601999999999,H,10.768,0.008,16300
574,5807.601999999999,K,10.72,0.011,21900
696,5807.602299999999,UVW2,12.91,0.04,2120
971,5807.722800000003,UVM2,13.57,0.05,2310
697,5807.7336,UVW2,12.91,0.04,2120
108,5808.14,B,10.396,0.03,4361
109,5808.14,V,10.426,0.02,5448
107,5808.14,U,9.852,0.093,3663
111,5808.14,I,10.425,0.03,7980
110,5808.14,R,10.338,0.02,6407
698,5808.2598,UVW2,12.88,0.04,2120
972,5808.260900000001,UVM2,13.38,0.08,2310
973,5808.261700000003,UVM2,13.43,0.04,2310
1180,5808.263899999998,UVW1,11.17,0.04,2910
699,5808.267800000001,UVW2,12.85,0.04,2120
974,5808.271800000002,UVM2,13.48,0.04,2310
700,5808.4014000000025,UVW2,12.82,0.04,2120
975,5808.402999999998,UVM2,13.41,0.04,2310
113,5808.5,V,10.475,0.021,5448
112,5808.5,B,10.412,0.009,4361
114,5808.5,R,10.347,0.009,6407
115,5808.5,I,10.403,0.021,7980
116,5808.52,I,10.342,0.06,7980
701,5808.861499999999,UVW2,12.86,0.04,2120
976,5808.868199999997,UVM2,13.43,0.04,2310
120,5809.14,I,10.346,0.03,7980
118,5809.14,V,10.323,0.021,5448
117,5809.14,B,10.252,0.03,4361
119,5809.14,R,10.226,0.02,6407
702,5809.140099999997,UVW2,12.77,0.04,2120
977,5809.142899999999,UVM2,13.33,0.04,2310
703,5809.260499999997,UVW2,12.66,0.05,2120
704,5809.261299999998,UVW2,12.73,0.04,2120
978,5809.2624,UVM2,13.27,0.08,2310
979,5809.263200000001,UVM2,13.26,0.04,2310
1181,5809.265099999997,UVW1,11.06,0.04,2910
127,5809.52,V,10.372,0.034,5448
128,5809.52,R,10.271,0.021,6407
122,5809.52,B,10.214,0.014,4361
123,5809.52,V,10.216,0.023,5448
124,5809.52,R,10.185,0.026,6407
125,5809.52,I,10.24,0.048,7980
129,5809.52,I,10.313,0.043,7980
121,5809.52,U,9.714,0.054,3663
126,5809.52,B,10.281,0.01,4361
705,5809.610399999998,UVW2,12.72,0.04,2120
980,5809.614500000003,UVM2,13.26,0.04,2310
706,5809.798300000002,UVW2,12.69,0.04,2120
981,5809.803200000002,UVM2,13.24,0.04,2310
132,5810.14,V,10.212,0.02,5448
131,5810.14,B,10.171,0.03,4361
130,5810.14,U,9.607,0.147,3663
134,5810.14,I,10.27,0.03,7980
133,5810.14,R,10.167,0.02,6407
707,5810.5317,UVW2,12.69,0.05,2120
708,5810.532700000003,UVW2,12.65,0.04,2120
982,5810.536599999999,UVM2,13.08,0.06,2310
983,5810.537700000001,UVM2,13.18,0.04,2310
1182,5810.540099999998,UVW1,11.03,0.04,2910
709,5810.684000000001,UVW2,12.6,0.04,2120
710,5810.750999999997,UVW2,12.6,0.04,2120
711,5810.8174,UVW2,12.61,0.04,2120
712,5810.951399999998,UVW2,12.62,0.04,2120
713,5811.1342,UVW2,12.59,0.05,2120
714,5811.135199999997,UVW2,12.64,0.04,2120
984,5811.138899999998,UVM2,13.14,0.07,2310
985,5811.139900000002,UVM2,13.17,0.04,2310
138,5811.14,R,10.079,0.02,6407
135,5811.14,U,9.516,0.115,3663
136,5811.14,B,10.082,0.03,4361
137,5811.14,V,10.124,0.02,5448
139,5811.14,I,10.251,0.03,7980
1183,5811.1422999999995,UVW1,11.04,0.04,2910
715,5811.872300000003,UVW2,12.59,0.04,2120
986,5811.876700000001,UVM2,13.03,0.06,2310
987,5811.8778999999995,UVM2,13.09,0.04,2310
1184,5811.8807000000015,UVW1,11.0,0.04,2910
716,5812.0725999999995,UVW2,12.65,0.04,2120
988,5812.076800000003,UVM2,13.1,0.04,2310
1185,5812.0789,UVW1,11.03,0.04,2910
144,5812.14,I,10.228,0.03,7980
143,5812.14,R,10.057,0.02,6407
142,5812.14,V,10.079,0.02,5448
141,5812.14,B,10.017,0.03,4361
140,5812.14,U,9.527,0.028,3663
575,5812.612999999998,J,10.503,0.009,12200
576,5812.612999999998,H,10.804,0.008,16300
577,5812.612999999998,K,10.641,0.013,21900
717,5812.616099999999,UVW2,12.59,0.04,2120
989,5812.620199999998,UVM2,13.08,0.06,2310
990,5812.621400000004,UVM2,13.07,0.04,2310
1186,5812.624100000001,UVW1,11.02,0.04,2910
148,5813.14,R,10.02,0.02,6407
146,5813.14,B,9.969,0.03,4361
145,5813.14,U,9.545,0.088,3663
149,5813.14,I,10.243,0.03,7980
147,5813.14,V,9.996,0.02,5448
718,5813.752399999998,UVW2,12.62,0.04,2120
719,5813.753599999996,UVW2,12.61,0.04,2120
991,5813.758000000002,UVM2,13.03,0.06,2310
992,5813.7592,UVM2,13.03,0.04,2310
1187,5813.762000000002,UVW1,11.07,0.04,2910
720,5813.827700000002,UVW2,12.6,0.04,2120
993,5813.876799999998,UVM2,13.03,0.04,2310
721,5813.893799999998,UVW2,12.61,0.04,2120
722,5813.961799999997,UVW2,12.62,0.04,2120
994,5814.278200000001,UVM2,13.07,0.04,2310
723,5814.290500000003,UVW2,12.62,0.04,2120
995,5814.344799999999,UVM2,13.03,0.04,2310
724,5814.3605000000025,UVW2,12.63,0.04,2120
725,5814.413399999998,UVW2,12.66,0.04,2120
726,5814.415099999998,UVW2,12.63,0.04,2120
996,5814.421199999997,UVM2,13.07,0.05,2310
997,5814.422899999998,UVM2,13.05,0.04,2310
1188,5814.426899999999,UVW1,11.12,0.04,2910
727,5814.499400000001,UVW2,12.63,0.04,2120
728,5814.752800000002,UVW2,12.65,0.04,2120
998,5814.758600000001,UVM2,13.13,0.05,2310
999,5814.760399999999,UVM2,13.06,0.04,2310
1189,5814.764199999998,UVW1,11.14,0.04,2910
729,5814.891900000002,UVW2,12.69,0.04,2120
1000,5814.8963,UVM2,13.05,0.06,2310
1001,5814.897599999997,UVM2,13.1,0.04,2310
1190,5814.900399999999,UVW1,11.16,0.04,2910
153,5815.13,R,10.034,0.02,6407
152,5815.13,V,9.998,0.02,5448
151,5815.13,B,9.991,0.03,4361
150,5815.13,U,9.505,0.092,3663
154,5815.13,I,10.321,0.03,7980
730,5815.817499999997,UVW2,12.71,0.04,2120
731,5815.8183999999965,UVW2,12.73,0.04,2120
732,5815.824999999997,UVW2,12.72,0.04,2120
1002,5815.830699999999,UVM2,13.12,0.05,2310
1003,5815.832300000002,UVM2,13.09,0.04,2310
1191,5815.834999999999,UVW1,11.23,0.04,2910
733,5815.888500000001,UVW2,12.75,0.04,2120
156,5816.13,B,9.987,0.03,4361
155,5816.13,U,9.57,0.014,3663
159,5816.13,I,10.36,0.03,7980
158,5816.13,R,10.047,0.02,6407
157,5816.13,V,10.015,0.021,5448
734,5816.687899999997,UVW2,12.81,0.04,2120
735,5816.7042,UVW2,12.79,0.04,2120
736,5816.7552,UVW2,12.78,0.04,2120
737,5816.7702999999965,UVW2,12.78,0.04,2120
738,5816.821900000003,UVW2,12.75,0.04,2120
739,5816.834900000002,UVW2,12.8,0.04,2120
740,5816.888599999998,UVW2,12.76,0.04,2120
741,5816.896999999997,UVW2,12.8,0.04,2120
742,5816.968500000003,UVW2,12.86,0.04,2120
743,5816.974800000004,UVW2,12.8,0.04,2120
160,5817.13,U,9.589,0.07,3663
161,5817.13,B,10.034,0.03,4361
162,5817.13,V,9.984,0.02,5448
163,5817.13,R,10.004,0.02,6407
164,5817.13,I,10.41,0.03,7980
1004,5817.298699999999,UVM2,13.2,0.04,2310
1192,5817.358200000002,UVW1,11.43,0.04,2910
744,5817.363299999997,UVW2,12.86,0.04,2120
1005,5817.369200000001,UVM2,13.2,0.04,2310
745,5817.439700000003,UVW2,12.85,0.04,2120
746,5817.499799999998,UVW2,12.85,0.04,2120
165,5817.51,U,9.772,0.013,3663
166,5817.51,B,10.095,0.028,4361
168,5817.51,R,10.028,0.025,6407
167,5817.51,V,9.998,0.02,5448
169,5817.51,I,10.311,0.042,7980
1193,5817.8966999999975,UVW1,11.56,0.04,2910
747,5817.9028000000035,UVW2,12.92,0.04,2120
1006,5817.910199999998,UVM2,13.26,0.04,2310
172,5818.13,V,9.983,0.02,5448
174,5818.13,I,10.439,0.03,7980
170,5818.13,U,9.631,0.144,3663
171,5818.13,B,10.108,0.03,4361
173,5818.13,R,10.062,0.02,6407
748,5818.5638000000035,UVW2,13.03,0.04,2120
1007,5818.568800000001,UVM2,13.26,0.06,2310
1008,5818.570299999999,UVM2,13.35,0.04,2310
1194,5818.572,UVW1,11.63,0.04,2910
1195,5818.573499999999,UVW1,11.58,0.04,2910
580,5818.633000000002,K,10.89,0.012,21900
578,5818.633000000002,J,10.968,0.009,12200
579,5818.633000000002,H,11.028,0.008,16300
179,5819.13,I,10.501,0.03,7980
178,5819.13,R,10.081,0.02,6407
177,5819.13,V,10.025,0.02,5448
175,5819.13,U,9.613,0.025,3663
176,5819.13,B,10.117,0.03,4361
749,5819.582999999999,UVW2,13.11,0.04,2120
581,5819.5899999999965,J,11.072,0.009,12200
582,5819.5899999999965,H,11.036,0.008,16300
583,5819.5899999999965,K,10.912,0.011,21900
750,5819.649700000002,UVW2,13.15,0.04,2120
751,5819.716999999997,UVW2,13.1,0.04,2120
752,5819.7837,UVW2,13.1,0.04,2120
753,5819.851000000002,UVW2,13.08,0.04,2120
180,5820.13,U,9.754,0.1,3663
754,5820.3724,UVW2,13.23,0.06,2120
755,5820.3735000000015,UVW2,13.2,0.04,2120
1009,5820.377399999998,UVM2,13.61,0.08,2310
1010,5820.378499999999,UVM2,13.57,0.04,2310
1196,5820.3799,UVW1,11.93,0.04,2910
1197,5820.381000000001,UVW1,11.83,0.04,2910
756,5820.437700000002,UVW2,13.26,0.05,2120
757,5820.439299999998,UVW2,13.22,0.04,2120
1011,5820.446400000001,UVM2,13.59,0.04,2310
1198,5820.448400000001,UVW1,11.87,0.04,2910
1199,5820.449999999997,UVW1,11.85,0.04,2910
585,5820.5899999999965,H,11.035,0.009,16300
584,5820.5899999999965,J,11.224,0.012,12200
586,5820.5899999999965,K,10.955,0.012,21900
181,5821.12,U,9.8,0.04,3663
182,5821.12,B,10.188,0.03,4361
185,5821.12,I,10.594,0.03,7980
184,5821.12,R,10.187,0.02,6407
183,5821.12,V,10.107,0.021,5448
589,5821.5899999999965,K,10.994,0.013,21900
588,5821.5899999999965,H,11.059,0.008,16300
587,5821.5899999999965,J,11.4,0.01,12200
758,5821.711600000002,UVW2,13.31,0.06,2120
759,5821.7125000000015,UVW2,13.4,0.04,2120
1012,5821.716099999998,UVM2,13.69,0.09,2310
1013,5821.716999999997,UVM2,13.79,0.04,2310
1200,5821.7183,UVW1,12.12,0.04,2910
1201,5821.719299999997,UVW1,12.0,0.04,2910
186,5822.12,U,9.958,0.075,3663
187,5822.12,B,10.324,0.03,4361
188,5822.12,V,10.117,0.02,5448
760,5822.381099999999,UVW2,13.54,0.07,2120
761,5822.381999999998,UVW2,13.47,0.04,2120
762,5822.514999999999,UVW2,13.42,0.06,2120
763,5822.516000000003,UVW2,13.5,0.04,2120
1014,5822.519800000002,UVM2,13.88,0.09,2310
1015,5822.520799999998,UVM2,13.88,0.04,2310
1202,5822.522199999999,UVW1,12.02,0.04,2910
1203,5822.523200000003,UVW1,12.12,0.04,2910
764,5822.582499999997,UVW2,13.5,0.07,2120
765,5822.583400000003,UVW2,13.45,0.04,2120
1016,5822.5867,UVM2,14.02,0.1,2310
1017,5822.587599999999,UVM2,13.89,0.05,2310
1204,5822.5889000000025,UVW1,12.09,0.04,2910
1205,5822.589800000002,UVW1,12.13,0.04,2910
189,5823.52,U,10.224,0.019,3663
190,5823.52,B,10.447,0.015,4361
191,5823.52,V,10.184,0.023,5448
192,5823.52,R,10.351,0.027,6407
193,5823.52,I,10.667,0.047,7980
592,5823.5899999999965,K,11.061,0.011,21900
590,5823.5899999999965,J,11.86,0.009,12200
591,5823.5899999999965,H,11.096,0.008,16300
766,5823.921300000002,UVW2,13.67,0.07,2120
767,5823.922200000001,UVW2,13.68,0.04,2120
1018,5823.925300000003,UVM2,14.09,0.11,2310
1019,5823.926200000002,UVM2,14.03,0.05,2310
1206,5823.9274000000005,UVW1,12.31,0.04,2910
1207,5823.928200000002,UVW1,12.31,0.04,2910
195,5824.49,B,10.627,0.01,4361
194,5824.49,U,10.404,0.045,3663
196,5824.49,V,10.356,0.015,5448
197,5824.49,R,10.564,0.012,6407
198,5824.49,I,10.875,0.025,7980
595,5824.593999999997,K,11.076,0.012,21900
594,5824.593999999997,H,11.1,0.008,16300
593,5824.593999999997,J,12.063,0.009,12200
768,5824.792000000001,UVW2,13.77,0.06,2120
769,5824.793700000002,UVW2,13.78,0.04,2120
201,5825.49,V,10.471,0.017,5448
203,5825.49,I,10.969,0.026,7980
199,5825.49,U,10.564,0.043,3663
202,5825.49,R,10.65,0.01,6407
200,5825.49,B,10.667,0.01,4361
770,5826.404399999999,UVW2,14.06,0.08,2120
771,5826.405400000003,UVW2,14.02,0.04,2120
1020,5826.409299999999,UVM2,14.41,0.11,2310
1021,5826.410300000003,UVM2,14.36,0.05,2310
1208,5826.411699999997,UVW1,12.54,0.04,2910
1209,5826.412799999998,UVW1,12.6,0.04,2910
772,5826.4686,UVW2,13.95,0.08,2120
773,5826.469499999999,UVW2,14.0,0.04,2120
1022,5826.472800000003,UVM2,14.45,0.13,2310
1023,5826.473700000002,UVM2,14.41,0.05,2310
1210,5826.4749999999985,UVW1,12.66,0.05,2910
1211,5826.475899999998,UVW1,12.63,0.04,2910
208,5826.49,I,10.956,0.025,7980
206,5826.49,V,10.456,0.012,5448
205,5826.49,B,10.8,0.009,4361
204,5826.49,U,10.676,0.041,3663
207,5826.49,R,10.636,0.011,6407
774,5826.538200000003,UVW2,14.06,0.09,2120
775,5826.538999999997,UVW2,14.0,0.04,2120
1024,5826.540200000003,UVM2,14.16,0.11,2310
1025,5826.540999999997,UVM2,14.41,0.06,2310
1212,5826.542099999999,UVW1,12.65,0.05,2910
1213,5826.542399999998,UVW1,12.53,0.09,2910
776,5826.551899999999,UVW2,13.98,0.06,2120
1214,5826.600899999998,UVW1,12.68,0.04,2910
777,5826.612699999998,UVW2,14.0,0.04,2120
596,5826.620999999999,J,12.326,0.01,12200
597,5826.620999999999,H,11.084,0.008,16300
598,5826.620999999999,K,11.075,0.012,21900
1215,5826.7376,UVW1,12.7,0.04,2910
