,JD,Band,mag,mag_err,effective_wavelength
891,5851.228900000002,UVW2,15.98,0.07,2120
285,5851.44,U,13.091,0.06,3663
286,5851.44,B,13.048,0.026,4361
287,5851.44,V,11.93,0.012,5448
288,5851.44,R,11.646,0.02,6407
289,5851.44,I,11.31,0.023,7980
644,5851.57,H,11.304,0.008,16300
645,5851.57,K,11.517,0.013,21900
643,5851.57,J,12.257,0.013,12200
1411,5851.737800000003,U,13.49,0.05,3663
1412,5851.738599999997,U,13.4,0.04,3663
1493,5851.739800000003,B,13.18,0.04,4361
1494,5851.740599999997,B,13.05,0.04,4361
1614,5851.741699999999,V,12.07,0.04,5448
1615,5851.7428999999975,V,12.02,0.04,5448
1285,5851.8145,UVW1,14.8,0.04,2910
1413,5851.816500000001,U,13.45,0.04,3663
892,5851.820500000002,UVW2,15.98,0.06,2120
1616,5851.823400000001,V,12.04,0.04,5448
1102,5851.827899999997,UVM2,16.19,0.07,2310
290,5852.45,U,13.309,0.042,3663
292,5852.45,V,11.948,0.013,5448
291,5852.45,B,13.106,0.017,4361
293,5852.45,R,11.677,0.015,6407
294,5852.45,I,11.365,0.028,7980
648,5852.561999999998,K,11.569,0.015,21900
647,5852.561999999998,H,11.356,0.01,16300
646,5852.561999999998,J,12.338,0.011,12200
1414,5852.8079,U,13.56,0.05,3663
1415,5852.808799999999,U,13.46,0.04,3663
1495,5852.810700000002,B,13.07,0.04,4361
1617,5852.811900000001,V,12.07,0.04,5448
1618,5852.8139999999985,V,12.06,0.04,5448
1286,5853.209999999999,UVW1,14.83,0.04,2910
1416,5853.2119999999995,U,13.47,0.04,3663
1496,5853.213000000003,B,13.13,0.04,4361
893,5853.215900000003,UVW2,16.02,0.06,2120
1619,5853.218800000002,V,12.12,0.04,5448
1103,5853.2232,UVM2,16.35,0.07,2310
650,5853.57,H,11.415,0.01,16300
651,5853.57,K,11.632,0.013,21900
649,5853.57,J,12.425,0.012,12200
1287,5854.290000000001,UVW1,14.92,0.05,2910
1417,5854.291299999997,U,13.47,0.04,3663
1497,5854.292000000001,B,13.15,0.04,4361
894,5854.2929,UVW2,16.08,0.09,2120
1288,5854.353999999999,UVW1,14.94,0.05,2910
1418,5854.355199999998,U,13.5,0.04,3663
1498,5854.3557999999975,B,13.17,0.04,4361
