Time,Effective Wavelength,flux
6080.423699999999,4361.0,1.236054508583939e-15
6080.423699999999,5448.0,8.6890105192094295e-16
6080.423699999999,6407.0,3.2990974396396744e-16
6080.423699999999,7980.0,3.2925648898707626e-16
6080.423699999999,12200.0,1.0619877270681866e-16
6080.423699999999,16300.0,3.7574625774955075e-16
6080.423699999999,21900.0,1.0275803800391588e-15
6081.423699999999,2120.0,1.7632281291907212e-15
6081.423699999999,2310.0,1.4448435039649305e-15
6081.423699999999,2910.0,8.707756240848147e-16
6081.423699999999,3663.0,7.116633615461137e-16
6081.423699999999,4361.0,1.2175093377022658e-15
6081.423699999999,5448.0,8.49777247972924e-16
6081.423699999999,6407.0,3.292951101537676e-16
6081.423699999999,7980.0,3.293665797558106e-16
6081.423699999999,12200.0,1.0650290135787557e-16
6081.423699999999,16300.0,3.722791076664709e-16
6081.423699999999,21900.0,1.0214809807910597e-15
6082.423699999999,2120.0,1.7691983025097268e-15
6082.423699999999,2310.0,1.4509394785357686e-15
6082.423699999999,2910.0,8.783921222830057e-16
6082.423699999999,3663.0,7.222524811295741e-16
6082.423699999999,4361.0,1.2021012068092384e-15
6082.423699999999,5448.0,8.326245602912118e-16
6082.423699999999,6407.0,3.2787985938420003e-16
6082.423699999999,7980.0,3.292393949395785e-16
6082.423699999999,12200.0,1.0677602398877701e-16
6082.423699999999,16300.0,3.6886313243334364e-16
6082.423699999999,21900.0,1.0154354100604571e-15
6083.423699999999,2120.0,1.7751946551243571e-15
6083.423699999999,2310.0,1.4570475018576952e-15
6083.423699999999,2910.0,8.859309319394158e-16
6083.423699999999,3663.0,7.32007977260007e-16
6083.423699999999,4361.0,1.1896030150921663e-15
6083.423699999999,5448.0,8.170883024440391e-16
6083.423699999999,6407.0,3.2583274748677037e-16
6083.423699999999,7980.0,3.2905637486756266e-16
6083.423699999999,12200.0,1.0701940328427714e-16
6083.423699999999,16300.0,3.6549742213495367e-16
6083.423699999999,21900.0,1.009443206361419e-15
6084.423699999999,2120.0,1.781207921242672e-15
6084.423699999999,2310.0,1.4631572099370485e-15
6084.423699999999,2910.0,8.93372644656117e-16
6084.423699999999,3663.0,7.409491995426764e-16
6084.423699999999,4361.0,1.1799605296348567e-15
6084.423699999999,5448.0,8.029950973111668e-16
6084.423699999999,6407.0,3.232505800593584e-16
6084.423699999999,7980.0,3.289381606614874e-16
6084.423699999999,12200.0,1.07234228119129e-16
6084.423699999999,16300.0,3.6218108343357877e-16
6084.423699999999,21900.0,1.003503911827671e-15
6085.423699999999,2120.0,1.787228953574919e-15
6085.423699999999,2310.0,1.4692584201941507e-15
6085.423699999999,2910.0,9.006991408028638e-16
6085.423699999999,3663.0,7.490958656510779e-16
6085.423699999999,4361.0,1.1732942972445156e-15
6085.423699999999,5448.0,7.902859855940482e-16
